"Patch","Lat","Lon","AREA","Road","X","Y"
"3795",NA,NA,NA,0,NA,NA
"3796",NA,NA,291.1722201,1,139.16711647,6676.6927146
"3797",60.21,20.69,168.8830795,1,150.76566386,6690.9414971
"3798",60.27,20.79,90.8137425,1,156.85071412,6697.1475707
"3799",60.25,20.81,163.4350791,1,157.36707665,6694.8729919
"3800",60.26,20.76,624.5009785,1,154.72483522,6696.2024135
"3801",60.34,19.96,3427.261734,1,112.15271508,6710.22291
"3802",NA,NA,NA,0,NA,NA
"3803",NA,NA,NA,0,NA,NA
"3804",60.24,20.38,236.149282,1,133.68066608,6696.9446161
"3805",60.23,20.38,1477.718047,1,134.01439991,6695.9317434
"3806",60.09,20.55,874.5115053,1,141.91854946,6679.466018
"3807",60.1,20.55,748.6680984,1,141.84539149,6679.5423552
"3848",NA,NA,NA,0,NA,NA
"3900",60.09,20.16,155.4558621,1,119.93123781,6681.2326187
"3901",NA,NA,NA,0,NA,NA
"3902",60.07,20.21,97.33458189,1,122.25079426,6678.4648105
"3903",60.08,20.19,3110.742907,0,121.70500258,6679.3459212
"3904",60.07,20.2,150.4297239,0,121.74496739,6678.9433447
"3905",60.08,20.21,229.0373421,0,122.38689365,6679.8829095
